science_decreases_jobs,trust_neighbours,trust_government,trust_scientists,trust_journalists,trust_doctors,trust_ngos,trust_trad_healers,age,gender,education,hh_income,subj_income,emp_status
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,75,Female,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29,Female,Secondary (8-15 years),Middle 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,74,Female,Tertiary,Fourth 20%,Living comfortable on present income,Out of workforce
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,45,Female,Secondary (8-15 years),Richest 20%,Living comfortable on present income,Employed full time for self
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,73,Female,Secondary (8-15 years),Second 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,68,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,22,Male,Secondary (8-15 years),Fourth 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,58,Female,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,45,Male,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,69,Female,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,59,Male,Tertiary,Fourth 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19,Male,Secondary (8-15 years),Richest 20%,Living comfortable on present income,Employed part time want full time
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed part time do not want full time
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,70,Male,Tertiary,Middle 20%,Getting by on present income,Unemployed
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,57,Female,Tertiary,Fourth 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,Female,Tertiary,Middle 20%,Finding it difficult on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,64,Male,Secondary (8-15 years),Second 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,48,Female,Tertiary,Richest 20%,Living comfortable on present income,Employed part time do not want full time
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,62,Male,Secondary (8-15 years),Poorest 20%,Getting by on present income,Unemployed
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,82,Male,Secondary (8-15 years),Fourth 20%,Getting by on present income,Employed part time do not want full time
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,79,Male,Secondary (8-15 years),Fourth 20%,Getting by on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,48,Female,Tertiary,Middle 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,29,Male,Secondary (8-15 years),Second 20%,Living comfortable on present income,Employed full time for an employer
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,53,Female,Secondary (8-15 years),Second 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for self
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,30,Male,Tertiary,Fourth 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,37,Female,Secondary (8-15 years),Poorest 20%,Finding it very difficult on present income,Unemployed
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,50,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,Female,Secondary (8-15 years),Second 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,60,Male,Secondary (8-15 years),Middle 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,54,Female,Tertiary,Middle 20%,Getting by on present income,Unemployed
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,62,Male,Elementary or less (8 years or less),Middle 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,59,Male,Secondary (8-15 years),Middle 20%,Getting by on present income,Out of workforce
